175,Mathura,Uttar Pradesh
176,Meerut,Uttar Pradesh
177,Moradabad,Uttar Pradesh
178,Noida,Uttar Pradesh
179,Varanasi / Banaras,Uttar Pradesh
180,Uttar Pradesh - Other,Uttar Pradesh
181,Dehradun,Uttaranchal
182,Roorkee,Uttaranchal
183,Uttaranchal - Other,Uttaranchal
184,Asansol,West Bengal
185,Durgapur,West Bengal
186,Haldia,West Bengal
187,Kharagpur,West Bengal
188,Kolkata,West Bengal
189,Siliguri,West Bengal
190,West Bengal - Other,West Bengal
191,Other,Other
